,userName,content,score
0,Amin Santoso,tiktok sangat bagus bisa berkarya dan mendapat teman banyak dari berbagai daerah dan jika beruntung bisa menghasilkan cuan semoga tiktok menambah fitur dan berbagai fasilitas lagi sukses and maju tiktok,5
1,monica hsu,saya suka dengan aplikasi tiktok dan aktif menggunakannya hanya saya kecewanya kesulitan mengubah cara top up coin dari dinar irak ke rupiah saya tinggal di indonesia dan cari uang di indonesia mengapa top up coin hanya bisa menggunakan iqd yang lbh mahal sekitar 30 di mana letak kesalahan saya saya pernah email bbrp minggu yll tapi tidak mendapat tanggapan mohon masukkan,5
2,Oppo A16,maaf saya kasih 2 karena aplikasi nya kurang bagus padahal jaringan saya full tapi klw udah di buka sekali ga bisa di buka lqi,2
3,Verdi Ximenes,tiktok nya sangat bagus tapi pas di buka video nya belum nonton sudah tidak mengapai jadi tolong di perbaiki lagi yakkk tiktok paling the best,3
4,Nenk shinta,kenapa dengan tiktok saya pas buka muter muter padahal wifi penuh dan gambar nya muter hitam gak ada gambar nya tolong di perbaiki lagi dong,2
5,Kelvin Aprillio,makin di update malah oploadnya selalu gagal mulu slalu kehapus terus tambah buruk aja nih aplikasi,1
6,Danny Ariyadi Putra,terima kasih tik tok tolong untuk tik tok yang ini di masukkan ke dalam peringkat social terpopuler agar mudah mencarinya dan mengupdatenya terima kasih,5
7,Cansio Dosantos,aku suka sama nih tiktok tapi aku serba gagal buat bikin video saat aku aplod juga nga dapat like,4
8,marcal maria,pokonya bagus kalau bisa lebih bagus lagi seperti efect atau kekurangan lainnya,4
9,Irfan 22,kalau mau bikin video lewat templat kadang bisa kadang engga dan mau menyimpan video kadang bisa dan kadang engga,4
10,Carolina Hornay,aplikasinya bagus banget tapi kenapa aku tambahkan lagu tik tok ke favorit tidak muncul di sana pliss pulih kan,4
11,De Risma,mengapa setelah saya memperbaharui wilayah saya tidak bisa mengunggah foto ataupun video tolong ditanggapi,3
12,bungi kiaw,saya sangat puas sama tiktok is the best terikasih ya tiktok kamu sangat memberikan inspirasi,5
13,Sinta Iqbal09,sekarang pas download tiktok gak langsung dapet updet barunyaharus nga updet sendiri terus lama lagi dapet updet pembaruan nya,3
14,indah saja,hadeh jaringan tidak stabil terus udh 5 hari padahal jaringan bagus wifi juga bagus,3
15,Mawar Merahmuda,ini dulu kecewa kenapa saya tidal bisa isi ulang coin klo nanti sudah bisa saya tambah bintangnya,2
16,Anne Marlina,satu dulu soalnya setiap buka tiktok slalu tidak menanggapi padahal baru di update,1
17,juulpengenfizr,aplikasi tiktoknya kenapa gak bisa dibuka anjj apk tololl,3
18,Lian Lestari,ga tau kenapa akhir ini buka live nge lag buka vidio lag padahal quota banyak buka aplikasi yg lain lancar aja pas buka tiktok ya alloh nge lag sumpah capee,1
19,Ratna Sari,lumayan oke buat hiburantapi sekarang gk ada notivikasi apapun tiktok gk bisa di buka,3
20,Chaca 883,kenapa efek gk bisa di ganti kalo mau joinsllu ada di layar biru gk bisa di ganti posisi lain,1
21,Lovely Rani,bagus saya sukakarna dengan tiktok saya merasa terhibur khususnya untuk kami para tki yg bekerja di luar negri selain bisa punya bnyak teman kami bisa menghibur diri dengan membuat vidio semoga tiktok kedepan makin maju dan bekembang,5
22,Magdalena Viani,app na bagustingkatkan cara kerja na dengan lebih baik lagi klau bisa ditambah fitur gambar na,5
23,Erni Mahesa,kok di aku gabisa update ya tiktok nya,1
24,Koko Quawara,aplikasi buruk tidak bisa berexpresi dengan bebas goblokk,1
25,Paya Costa,kenapa saat masuk tiktok tidak bisa mengunakan template capcut,2
26,Sunardi Nardi,kenapa ya tik tok aku ngak bisa muncul kurun mohon pencerahannya trimah kasih,5
27,Muhamad Fahad,video live ngelag parah video live gak terputar alias berhenti pasti gak ada suaranya orang video nya aja lag parah banget sangat mengecewakan,1
28,Ulfah Izdihar,tik tok aplikasi yang bagus dan banyak disukai oleh masyarakat kalau ada masalah tik tok akan menanggapi dengan baik dan cepat,5
29,Sarra Missa,kenapa ya tiktok ini tidak bisa buat komentar tolong perbaiki dulu,4
30,Rhany Bohay,selama ini tiktok baguscuma sayangsaya lagi berada di negri orangyang gk semua hp bisa muncul tiktokshop nyajd belum bisa menjalankan bisnis di tiktokshop,5
31,Susan Susanti,mohon maaf untuk apl tiktok yg saya pakai kok gak ada tanda jejak kaki yahjd saya gak tau siapa2 saja yg suka liat profile saya,1
32,Sindi Atika Sari,setelah update aplikasi ini hp sering restart tolong diperbaiki ya seperti dulu hp saya sering restart saat ingin membuka aplikasi ini terima kasih,4
33,Momang Call,terima kasih tiktok teruslah berkembang dg tiktok sy bisa terhubung kemana sj dan berkenalan dengan byk org baik,5
34,Salicil Berak,untuk kalian yang mengeluh soal lag ataupun fiturfitur nya lag perlu kalian ketahui bahwa aplikasi ini ada di negara indonesia dan ada versi asia kenapa mengunakan aplikasi negara lain dan juga perlu kalian ketahui bahwa cairo dan indonesia itu jauh wajahlah bila jaringan nya tidak optimal,5
35,G Gh,selalu ngk bisa dibuka pengikut bertambah tapi pada hilang ngk naik pengikut nya,1
36,Efhy Efhy,kenapa ya sai masuk ke tiktok semua filter ga ada,1
37,Sarinah Muhammad,saya kesal setiap kali buka tik tok belum apa apa udah tutup aplikasi tik tok tidak menanggapi dan gak bisa buka video,1
38,Dafa Dafa,tiktok memang bagus terbaik tapi saya yg bikin susah top up coin,5
39,Cienta Endang,kenapa cod di tiktok ku gak bisa biasanya ok aja jadi malas belanja kalo cod hilangin,5
40,Muhammad Rafi,waw tiktok bagus banget dan bisa menghasilkan uang gass,5
41,Mutiara Shandy,woy lu ada masalah ape si tik sampe semua vt aku di bisukan kalau ada masalah tuh ngomong tik bukan ngambek ga jelas akun ku yang satu lu banded pun aku tak bisa kirim pesan dengan alasan pesan berisi penipuan hais please lah tik aku tak paham masalah antara kita tuh apa durasi kepanjangan hak cipta udah di timpa lagu yang ada di lu sama aja d bisukan dah lah tik jangan lah begini aku tuh pengen menikmati tiktok dengan damai,2
42,Rare Rare,tiktok dah oke juga fitur nya kren tolong di prbanyak lagi jga durasi ft nya tmbahin biar puas,4
43,Putri Hanan,sukatpi kenapa ya sekarang ko kadang suka ngebelng sendiri,3
44,Suprayadi 73,tiktok oke mau nonton dan belanja semua serba oke,5
45,Russyahrul,aplikasinya selalu bilang jaringan tidak stabil padahal wifi dan jaringan bagus,1
46,lilis laelaratnasari,sangat menghibur dan bisa berexfresi ya walaupun kadang fitur fiturnya suka tidak bisa di pakai,3
47,Achmad Rifay,cukup bagus appnja juga aneka videonja sangatlah menarik dan bagus untuk ditonton baik terima kasih ulasan dari saya,5
48,Nona Lamarobak,sampai saat ini bagus cuma kadang lemot untuk pemutaran videonya,4
49,Bismillah ningsih,sering nglag padahal sinyal bgus video macet2 kek gk da kuota pdhal kuota baru isi tolong diperbaiki,1
50,Saeful rahman Sutrisno,09122023 tiktok erorsaya kira sinyal bermasalahternyata tiktoknya eror terus setiap live dan mau masuk live orang lain,1
51,Lusi Bugis,kenapa jadi banyak iklan nya bat membalas chat aja sdh iklan lagi iklan lagl aree,2
52,Kiswati I,bagus tapi q belum bisa pake tik tok shop wkwk padahal pengen banget jualan kayak yang lain,5
53,JIHAN MOHAMMAD JIHAN,saya sgt suka tiktok kreeennn buat hiburan tapi terlalu banyak pelanggan nya,5
54,Amjad Saifurrohman,gak jelas gak bisa login disuruh untuk tambahkan tanggal lahir terus gak bisa gak jelas banget,1
55,Aqila and Elea chanel,skrg upload video gak bisa pilih lagu sendiri y saat cari lagu gak pernah bisa cm ada musik yng di rekomendasiin aplikasi aj,1
56,JJA Arcof,aplikasinya bagus tapi kenapa kalau aplikasinya sudah diupdate tapi ada beberapa fitur yang tidak bisa digunakan malah di notif begini fitur ini tidak bisa digunakan harap diupdate padahal aplikasinya sudah diupdate jadi kesalmaka dari itu sementara ratingnya tak kasih 3 dulu,3
57,Delano Raedoe aureliano,tik tok saya tidak bisa untuk orang berkomentar padahal saya sudah membuka akses untuk orang berkomentar tapi kenapa pengikut saya juga tidak bisa untuk berkomentar padahal saya sudah bembuka komentar di tik tok saya untuk semua orang pada saat mau posting video saya kan ada opsi lain saya pencet di situ untuk mengizinkan untuk semua orang berkomentar tapi saat orangorang menonton vt tik tok saya mereka tidak bisa untuk berkomentar itu kenapa yah saya pikir untuk tik tok lebih memperhatikan,1
58,Iwan Putra081,aplikasi tik tok emang bagus bisa menambah wawasan saya dan banyak teman,5
59,Mira Mira,memang thebes deh pokonya tiktok smoga makin rame dan makin bermanfaat buat semua pengguna tiktok,5
60,Chaya Tanjung,saya tidak bisa dapat sandi lupa emel dan nomer telpon tolong pihak tik tok,5
61,Haura Fadhilah,saya kasih bintang 4 tp ko kadang kadang scene video yang sudah saya rekam ilang lagi sedikit saran saya sih tiktok lebih diperbaiki lagi sound nya dan perekamannya saya sudah capek ketika membuat sebuah transisi tp sound nya suka ilang sendiri tolong diperbaiki yaa,4
62,Graciia,aplikasi yang bagus saya dapat menhibur diri saya suka menonton dan aplikasi ini lah yang menurut saya nomor dua dari youtube,5
63,kang ujang (Kang ujang),aplikasi nya bagus tp akhir2 ini kalau masuk live sinyal langsung hilang pdhl memakai wifi sementara aplikasi yg lain bisa berjalan tolong di perbaiki,2
64,Hardi Wisono,apk bagustapi kalo buka live ampun deh lag nya itu jadi ga nyaman buat nonton padahal kuota sama wifi bagus sinyalnya terus kalo buka apk lain bagus juga sinyalnya yg bermasalah cuma pas nonton live aja,3
65,intan nur anisa,ini kenapa ya tiktok selalu ga ada jaringan pdhl jaringan saya bagus terus juga kalo diliat di play store tiktok selalu blm ke install pdhl udah di install di berandamohon bantuan nya pihak tiktok,4
66,Ahmad Qusyaeri,tidak bisa login jeng t dikirim deih kode na,1
67,Mamah devin Devin,tidak bisa mereset sandi tiktok dan susah masuk ke akun tiktok lama dan selalu gagal,5
68,Sri Haryati,makin hari aplikasi tik tok tdk bermutu semua yg di upload di hapus semua komentar di hapus sekarang tik tok aplikasi sampah,1
69,Sulis Tiwati,sejak ganti tiktok baru tidak bisa sama sekali lihat viti mau bikin viti pun susah,5
70,Abrar Arrizqi,aplikasi jelek ga bisa mempertimbangkan mana yang melanggar panduan mana yang nggak,1
71,Siko Silo,saya sudah lama menggunakan tiktok live streaming tapi kenapa tiba tiba akun saya diblokir permanen jujur saya merasa kecewa karena saya sendiri bingung apa alasannya saya sudah ajuin banding tapi ga ada tanggapan,3
72,Wiwin Widaningsih,kok tiktok nya gk bisa d buka,2
73,Hasan Acim,tiktok ini bagus dan keren tapi di tempat nonton itu kadang ada live terus banyak iklan jualan tolong yah kalo bisa tiktok shop di tutup lagi soalnya bikin ribet dan ngeganggu dan tolong di andet lagi yah tiktok nya biar keren,4
74,Refi Lomboktimur,kenapa nggak bisa life padahal udah didaftarin pakai ktp mohon diperbaiki,5
75,Vicky Adi,kenapa saya tidak bisa memasukan kode undangan padahal saya kan pengguna baru pertama keluhannya adalah tidak lolos control penipuan keluhan kedua kesalahan jaringan harap coba lagi itu saja keluhannya mohon diperbaiki dong pihak tik tok,2
76,Pengguna Google,alangkah lebih baik jika ada pengaturan kualitas video tonton seperti di youtube itu sangat membantu kepada mereka yg minim kouta untuk tetap hevan menonton video di tiktok dan mengurangi bufer video,5
77,Pembangunan NKRI,kenapa sangat sulit memasukkan kode undangan pengguna baru kecewa untuk kebajikan tiktok lebih baik besarkan hadiah menontonnya dari pada undang teman sudah di bagikan kode undangan tetapi tetap tidak lolos kontrol penipuan,1
78,Pengguna Google,assalamualaikum saya cuma mau curhat yaa bagus sih bagus tpi lemot bangett padahal aku punya kuota sinyal bagus 23m dan mb banyak memorinya hampir penuh lagian kuotanya habisnya cepet banget padahal kan aku baru beli kuota kenapa pas aku baru buka selalu aja ada iklan dari tiktok kayak hago like dan lainnya mohon segera diperbaiki agar semua orang terhibur saya sebenarnya suka tapi lemot bangett sementara saya hapus utk dahulunya sekian dari komentar saya wasalam,1
79,Adiet Rhushan,bagus asal di pergunakan dengan bagus tlong tiktok lebih di perketat lagi karna di tiktok banyak yg membuat video joget2 seksi tlong lebih di lihat lagi kalau perlu di blok hal2 seperti itu,5
80,Pengguna Google,aplikasinya bagus ya cuma iklan nya terlalu berlebihan dan terlalu banyak tapi semua videonya bagus2 koktinggal kita cari aja di penelusuran tiktok yang mana yg mau dilihatterima kasih,5
81,saa ale,selamat malam kasi rat 3 dulu soalnya aku mau ganti tanggal lahir kok malah tulisan nya kek gini tidak dapat mengubah tanggal lahiruntuk melanjutkantingkatkan aplikasi ke tiktok versi terbaru padahal udh di update tapi kok masih begini ya tolong dong bales,3
82,Muhammad Faris,aplikasi penipuan scamm cape minjem hp temen tetangga buat download tiktok ehh malah koinya cuma 1k ada yg 6k padahal tulisanya per undangan 10k aplikasi scam untuk lenarikanya pun gak bisa aplikasi penipuann scamm,1
83,Suhandi Inf,tolong di perbaiki lagii sistem nya knp kita kalau mau buka aplikasinya selalu lag parah kirain hp aku yg rusak taunya apk nya yang gini mohon untuk pihak tiktok segera di perbaiki terimakasih,4
84,Margaretha Rahayu,kenapa iklan yik tok keluar terus padahal beberapa lalu tik tok sudah saya hapus akhirnya saya download lagi tapi iklan masih keluar lagi sy terganggu dg hal ini,1
85,Ayu Sfa,enatah kenapa sekarang app tiktok gak bisa di bukatiap klik gak bisa kebika sedang kalo di uninstal truz instal lagi semua draf pasti hilang sayang banget udah ngdraft banyak buat posting berkala jadi sia,1
86,Mariah Tasneem,saya baru pemula maon tiktok sungguh menyenangkan sangat menghibur krn memenri peluang utk kita utk bisa menuangkan bakat seni dan sekaligus bisnis,4
87,ZAKEU BARETO,mohon lokasi dan negaranya pakai isi manual saja jangan pakai yg otomatis jika kami sedang di luar negeri mau akses tiktok dengan versi negara kami tetapi kami sedang di luar negeri susah sekali mengakses fitur fitur lain lain nya,2
88,DEWI FORTUNA,susah banget bikin video susah jg buka filter ypadahal hp ku g jelek2 amat samsung 5gjaringan bagus tapi sll bilang jaringan anda tidak stabil buka aplikasi lain oke2 j tolong donk tiktok di negara oman di stabilkan wifi bagus hp 5g susah bget buat video play video buka efek buka aplikasi lain lancar2 j kalau bagus ku kasih bintang 5 udh di coba ini itu ttp jadi ll susah play video temn2 jg susah susah banget sih mau duet loding terus,5
89,Mutia Rahayu ndera,knp skrang malah ngga bisa buka ini aplikasi setiap mau buka tiktok pasti ada kterangan jaringan tidak stabil pdahal sinyal bagus bnget,3
90,Ani Yuniarti,tiktok sangat membantu aplikasi yg bagus mohon d tinju mengapa ada beberapa fiturfitur yg gk ada filter mempercantik saat komal kok gk ada tolong di bantu untuk fiturfitur saya,3
91,Pengguna Google,tolong ya tik tok kembalikan musically kami karena para muser juga berasal dari musically dan tolong jangan plagiatkan aplikasi mc dan kepada musically tolong pisah dari tiktok logonya saja sudah tiktok semua kemana mc kita yg dulu yg berawal dari goyang hp hingga jago buat transisi hufftt jangan mau dibodohkan lah oleh dia,1
92,Pengguna Google,tidak bisa di downloadd dan nama app tidak keluar jika di search di play store padahal aku sukak banget sama app ini walau sudah berubah jadi tiktoktolong perbaiki lagi,1
93,lee seulgi,kok ngak ada ya fitur geser foto biasanya ada padahal udah di instal ulang tetep gk ada juga pliss dong tiktok di perbaiki lagii maaf ya kasih bintang 2,2
94,Rose Park chayeong,sebenarnya saya beneran suka sama versi tiktok sekarang pokonya jangan diubah fitur yang aneh2 yang ini udah cukup tetapi masalahnya tolong perbaiki algoritma tiktok nya kami juga ingin masuk fyp tolong buat algoritma tiktok baca akun saya biar saya lebih semangat lagi uplod videonyalalu masalah live streaming nya pokonya buat akun ku di baca oleh algoritma biar masuk fyp,5
95,Alex Obet,alasan saya kasih bintang satu yaitu masa saya sudah buat akun di tiktok malah harus di hapus oleh pihak tiktok padahal saya baru aplod bebetapa vidio tapi langsung gitu saya mohon segera di perbaiki dan saya sudah coba beberapa hal tapi susah padahal kode sudah terkirim saat bisa di masukin aku aku malah harus coba lagi saya benar benar kevewa sekali pada apk tiktok ini saya mohon sebesar besarnya mohon di perbaiki lagi,1
96,AirA Ersya,gimana sih saya narik saldo gakbisa gagal terus gak bnyak sih cuman 50rb tp saya gak curang masak iya gak bisa di tarik uangnya herann apa udah gak membayar lagi ya capek nonton video hasilnya gak bisa ketarik jadi males lagi,5
97,Pro Star,kenapa saya tdk bisa mendownload apk tiktok padahalterus itu kalo saya bikin akun ditiktok pasti gabisa harus bikin lagi akun nyanah terus itu saya sudah berapa kali punya akun tapi tetep gak bisa dibuka tolong di perbaiki lagi,1
98,she Bima,bagus kerentapi knpa skrang sering matiklo udah bikin cape cape vidionya malah mati kmbli ke berandajdinya hilang vidio dapat bikin itujlaskan cobaini tiktok versi baru,5
99,Fauzi Sambora (ZYY),lain kali kalau mau bikin event jangan nanggung2 bikin event mobile legend kok di batasi stok nya capek2 ngumpulin ujung nya gak bisa di tuker kalau cuma buat popularitas sekalian jgn bikin event gak jelas gitu gua uninstall ja nie aplikasi aplikasi gak jelas,1
100,Besty12 Besty,tetlalu sensitif apk iniupload vidio kadang berhenti di tengah kadang ada pesan tidak bisa terhubung ke internet padahal kuota internet baru isijdi saya kasih bintang 2 duluntr udah perbaiki baru saya nambah,2
101,syakilla,kenapa sekarang tiktok jadi ngelag banget yah padahal sebelum di update fine aja tuh ga ngelag dan lancar jaya apalagi pas mau bikin vid tiba keluar dari apk nya tolong dong di perbaiki lagi,3
102,M. Reza Kurniawan,pembaruan tiktok ga bisa berbagi ke semua orang,1
103,Phoe Bertiansyah,kenapa kalau posting sekarang kadang kadangsusah tolong perbaiki dan capcut gabisa download muter terus ngeloading ini kan bikin nunggu lama eh hasilnya gabisa download padahal baru isi quota jaringan juga baguspertama capcut lancar eh sekarang ngeloading eh makin kesini ga bisaaku copot aja maaf,5
104,Haer Gotik,sangat mengecewakan padahal udah di download tapi gak bisa ke install gak bisa di batalkan penyimpanan udah ke pake banyak gak bisa di pake apknya,1
105,Anang Anang07,bagus sih bagus aplikasi nya cuman dipenarikan ke saldo dana harus dana premium coba aja penarikan nya gak harus pake dana premium pasti lebih bagus saya ngomong gitu krna saya pelajar krna gak pinya ktp untuk jdi dana premium tolong dong penarikan nya jgn pake dana premium,4
106,Pengguna Google,sempat saya uninstall karena memori penuh begitu memori saya sudah kosong koneksi internet lancar cache google play store juga sudah dihapus tetap saja tidak mau diinstall ulang mohon segera dibenahi,1
107,Agostinha Viana,aku bisa mempunyai teman dari berbagai negara bisa mendapatkan pengetahuan banyak yang aku nga tau selama ini dan bisa membantu aku segala sesuatu yang aku sembunyikan selama ini seperti bisa dansa dan bisa bikin ditiku bahagia pokoknya love love love untuk aplikasi tiktok,5
108,Pengguna Google,maaf sebelumnya dlu yg bermasalah itu bukannya tiktok yaa sampe tiktok hampir mau di blokir kenapa jdi skrng musically yg menjadi tiktok mohon bantuannya buat di rubah jadi ke musically dulu lagi terimakasih,3
109,Pengguna Google,q suka sih sama aplikasi ini tapi saat kita ngunggah video q agak ga suka karena setelah kita mengunggah kita harus share ke beberapa aplikasi itu aja sih tapi mohon diperbaiki ya,3
110,Hariri Said,apa apan ini skrng tiktok kok ga bisa muncul tamplate capcut ga bisa pytar video padahal jaringan internet sanagt aman diperbaharui buksn nya tambah bagus malah tambah jelek tiktok dulu lebuh bagus,1
111,Pengguna Google,keren tapi bagusnya kalau ada kecepatan mode dari fast ke slow tanpa 2 kali dipencet dan filter filter yang baru,5
112,PGS july,appk nya bagus tapi aku hanya igin agar bisa di perbaiki agar saat si update terbaru jagan ada yang hilang karena saat aku danloud dan update lagi akunku ikutan hilang jadi mohon di perbaiki secepatnya,4
113,Ligia Silva,saya sangat suka dengan video musiknya terima kasi banget buat tiktok yan selalu memberi videonya teman2 yan sangat menhibur saya saat lagi sendirian dimanapun kapanpun saya beradaterima kasi buat tiktok semoga terus mengasi video musiknya yan bagus kern2 semua terima kasih tiktok,5
114,RENDIYANI RENDIYANI,terima kasih tiktok dgn adanya apk ini jd banyak sahabat dan menjalin persaudaraan jg menambah wawasan ilmu agama dan intropeksi diri posting2an temen dan kreator semoga bertambah sukses,5
115,Sindy Nuraini,app tik tok sgt menghibur sy di kala sudah slsai bekerja app kasinya bagus mudah n bisa mndptkan sahabat teman2 n keluarga di manapun berada hampir sm dg fb yg paling mnojol bisa nyayi n sperti suara pe nyanyi aslinya n bisa me lawak juga ini tok pokok nya bagussss,5
