,content,score
0,tiktok sangat bagus karya dapat teman banyak bagai daerah jika untung hasil cuan moga tiktok tambah fitur bagai fasilitas sukses and maju tiktok,5
1,maaf kasih 2 aplikasi nya kurang bagus padahal jaring full klw udah buka sekali bisa buka lqi,2
2,tiktok nya sangat bagus pas buka video nya nonton tidak kapai jadi di baik yakkk tiktok paling the best,3
3,dengan tiktok pas buka muter muter padahal wifi penuh gambar nya muter hitam ada gambar nya di baik dong,2
4,makin update malah oploadnya selalu gagal mulu slalu hapus terus tambah buruk aja nih aplikasi,1
5,terima kasih tik tok untuk tik tok ini masuk dalam peringkat social populer mudah cari mengupdatenya terima kasih,5
6,aku suka sama nih tiktok aku serba gagal buat bikin video aku aplod nga like,4
7,poko bagus kalau lebih bagus seperti efect kurang lain,4
8,kalau mau bikin video lewat templat kadang kadang engga mau simpan video kadang dan kadang engga,4
9,aplikasi bagus banget kenapa aku tambah lagu tik tok favorit muncul sana pliss pulih kan,4
10,telah baharu wilayah tidak unggah foto atau video tanggap,3
11,sangat puas sama tiktok is the best terikasih tiktok kamu sangat beri inspirasi,5
12,sekarang pas download tiktok langsung dapet updet barunyaharus nga updet sendiri terus lama dapet updet baru nya,3
13,hadeh jaring stabil terus udah 5 hari padahal jaring bagus wifi bagus,3
14,dulu kecewa saya tidal isi ulang coin kalo sudah saya tambah bintang,2
15,satu dulu soal buka tiktok slalu tanggap padahal baru update,1
16,aplikasi tiktoknya tidak buka anjj apk tololl,3
17,ga tau akhir buka live nge lag buka vidio lag padahal quota banyak buka aplikasi lain lancar aja pas buka tiktok alloh nge lag sumpah capee,1
18,lumayan oke buat hiburantapi sekarang gk notivikasi apa tiktok gk di buka,3
19,efek gk di ganti kalo mau joinsllu di layar biru gk di ganti posisi,1
20,bagus sukakarna tiktok rasa hibur khusus tki kerja luar negri bisa punya bnyak teman kami bisa hibur diri buat vidio moga tiktok depan makin maju bekembang,5
21,app na bagustingkatkan cara kerja na lebih baik klau tambah fitur gambar na,5
22,kok aku gabisa update tiktok nya,1
23,aplikasi buruk bisa berexpresi bebas goblokk,1
24,saat masuk tiktok bisa mengunakan template capcut,2
25,ya tik tok aku ngak muncul kurun mohon cerah trimah kasih,5
26,video live ngelag parah video live putar alias henti tidak suara orang video nya aja lag parah banget sangat kecewa,1
27,tik tok aplikasi bagus banyak suka masyarakat kalau masalah tik tok tanggap baik cepat,5
28,ya tiktok tidak buat komenanti baik dulu,4
29,lama tiktok baguscuma sayangsaya ada negri orangyang gk semua hp muncul tiktokshop nyajd bisa jalan bisnis tiktokshop,5
30,mohon maaf apl tiktok pakai kok ada tanda jejak kaki yahjd tidak tau siapa2 yang suka liat profile saya,1
31,update aplikasi hp sering restart baik seperti dulu hp sering restart ingin buka aplikasi terima kasih,4
32,terima kasih tiktok terus kembang dg tiktok sy hubung sj nal banyak org baik,5
33,kalian keluh soal lag atau fiturfitur nya lag perlu kalian tahu aplikasi ada negara indonesia ada versi asia mengunakan aplikasi negara perlu kalian tahu cairo dan indonesia jauh wajah bila jaring nya optimal,5
34,selalu ngk buka ikut tambah pada hilang ngk naik ikut nya,1
35,ya sai masuk tiktok semua filter ada,1
36,kesal kali buka tik tok apa apa udah tutup aplikasi tik tok tanggap tidak buka video,1
37,tiktok memang bagus baik saya bikin susah top up coin,5
38,cod tiktok ku bisa biasa aja jadi malas belanja kalo cod hilangin,5
39,waw tiktok bagus banget bisa hasil uang gass,5
40,tiktok dah oke fitur nya kren di prbanyak jga durasi ft nya tmbahin biar puas,4
41,sukatpi ya sekarang ko kadang suka ngebelng sendiri,3
42,tiktok oke mau nonton belanja semua serba oke,5
43,aplikasi selalu bilang jaring stabil padahal wifi jaring bagus,1
44,sangat hibur bisa berexfresi walaupun kadang fitur fiturnya suka bisa pakai,3
45,cukup bagus appnja aneka videonja sangat tarik bagus tonton baik terima kasih ulas saya,5
46,saat bagus cuma kadang lot putar video,4
47,sering nglag padahal sinyal bgus video macet2 gk da kuota pdhal kuota baru isi baik,1
48,09122023 tiktok erorsaya kira sinyal bermasalahternyata tiktoknya eror terus live mau masuk live orang,1
49,jadi banyak iklan nya bat balas chat aja sdh iklan iklan lagl aree,2
50,bagus q bisa pake tik tok shop padahal ken banget jual kayak lain,5
51,sgt suka tiktok kreeennn buat hibur terlalu banyak langgan nya,5
52,gak jelas bisa login suruh tambah tanggal lahir terus bisa jelas banget,1
53,skrg upload video pilih lagu sendiri y cari lagu pernah bisa cm musik yng rekomendasiin aplikasi aj,1
54,aplikasi bagus kenapa kalau aplikasi diupdate ada beberapa fitur guna malah notif begini fitur tidak guna harap diupdate padahal aplikasi diupdate jadi kesalmaka itu ratingnya tidak kasih 3 dulu,3
55,aplikasi tik tok emang bagus tambah wawas dan banyak teman,5
56,memang thebes deh poko tiktok smoga makin rame makin manfaat buat semua guna tiktok,5
57,tidak dapat sandi lupa emel nomer telpon pihak tik tok,5
58,kasih bintang 4 tp ko kadang kadang scene video sudah rekam ilang sedikit saran sih tiktok lebih baik sound nya rekam sudah capek buat buah transisi tp sound nya suka ilang sendiri baik yaa,4
59,aplikasi bagus dapat menhibur diri suka tonton aplikasi lah turut nomor dari youtube,5
60,aplikasi nya bagus tp akhir2 kalau masuk live sinyal langsung hilang pdhl pakai wifi aplikasi lain jalan di baik,2
61,apk bagustapi kalo buka live ampun deh lag nya jadi nyaman buat nonton padahal kuota sama wifi bagus sinyal terus kalo buka apk bagus sinyal masalah cuma pas nonton live aja,3
62,kenapa tiktok selalu ada jaring pdhl jaring bagus terus kalo liat play store tiktok selalu ke install pdhl udah install berandamohon bantu nya pihak tiktok,4
63,bisa login jeng t kirim deih kode na,1
64,bisa mereset sandi tiktok susah masuk akun tiktok lama selalu gagal,5
65,makin hari aplikasi tik tok tdk mutu semua upload hapus semua komenanti di hapus sekarang tik tok aplikasi sampah,1
66,sejak ganti tiktok baru bisa sama sekali lihat viti mau bikin viti susah,5
67,aplikasi jelek bisa timbang mana langgar pandu mana nggak,1
68,sudah lama guna tiktok live streaming kenapa tiba tiba akun blokir permanen jujur rasa kecewa sendiri bingung apa alas saya sudah ajuin banding tidak tanggap,3
69,kok tiktok nya gk d buka,2
70,tiktok bagus keren tempat nonton kadang live terus banyak iklan jual yah kalo tiktok shop tutup soal bikin ribet ngeganggu tolong di andet yah tiktok nya biar keren,4
71,nggak life padahal udah didaftarin pakai ktp mohon baik,5
72,bisa pasu kode undang padahal saya kan guna baru pertama keluh tidak lolos control tipu keluh dua salah jaring harap coba itu keluh mohon baik dong pihak tik tok,2
73,alangkah lebih baik ada atur kualitas video tonton youtube sangat bantu mereka minim kouta tetap hevan tonton video di tiktok kurang bufer video,5
74,sangat sulit masuk kode undang guna baru kecewa kebaji tiktok lebih baik besar hadiah tonton pada undang teman di bagi kode undang tetap lolos kontrol tipu,1
75,bagus asal guna bagus tlong tiktok lebih ketat karna tiktok banyak buat video joget2 seksi tlong lebih lihat kalau perlu blok hal2 itu,5
76,aplikasi bagus cuma iklan nya terlalu lebih terlalu banyak semua video bagus2 koktinggal cari aja telusur tiktok mana mau dilihatterima kasih,5
77,selamat malam kasi rat 3 dulu soal aku mau ganti tanggal lahir kok malah tulis nya gin dapat ubah tanggal lahiruntuk melanjutkantingkatkan aplikasi tiktok versi baru padahal udah update kok begini tolong dong bales,3
78,aplikasi tipu scamm cape minjem hp temen tetangga buat download tiktok ehh malah koinya cuma 1k yang 6k padahal tulisanya per undang 10k aplikasi scam lenarikanya tidak aplikasi penipuann scamm,1
79,baik lagi sistem nya knp kalau mau buka aplikasi selalu lag parah kirain hp aku rusak tau apk nya gin mohon pihak tiktok segera di baik terimakasih,4
80,iklan yik tok keluar terus padahal beberapa lalu tik tok hapus akhir saya download tapi iklan keluar sy ganggu dg ini,1
81,enatah sekarang app tiktok bisa bukatiap klik bisa kebika sedang kalo uninstal truz instal semua draf hilang sayang banget udah ngdraft banyak buat posting kala jadi sia,1
82,baru mula maon tiktok sungguh senang sangat hibur memenri peluang kita bisa tuang bakat seni sekaligus bisnis,4
83,mohon lokasi negara pakai isi manual jangan pakai otomatis sedang luar negeri mau akses tiktok versi negara tetapi kami sedang luar negeri susah sekali akses fitur fitur lain nya,2
84,knp skrang malah ngga buka aplikasi mau buka tiktok ada kterangan jaring stabil pdahal sinyal bagus bnget,3
85,tiktok sangat bantu aplikasi bagus mohon d tinju beberapa fiturfitur gk filter cantik komal kok gk ada tolong bantu fiturfitur,3
86,bisa downloadd nama app keluar search di play store padahal aku sukak banget sama app walau ubah jadi tiktoktolong baik,1
87,kok ngak fitur geser foto biasa padahal udah instal ulang tetep gk juga pliss dong tiktok baik lagi maaf ya kasih bintang 2,2
88,gimana sih narik saldo gakbisa gagal terus bnyak sih cuman 50rb tp curang masak iya bisa tarik uang herann apa udah bayar ya capek nonton video hasil tidak bisa tarik jadi males,5
89,tdk mendownload apk tiktok padahalterus kalo saya bikin akun ditiktok gabisa bikin akun nyanah terus saya berapa kali punya akun tetep bisa buka di baik,1
90,bagus rentap knpa skrang sering matiklo udah bikin cape cape vidionya malah mati kmbli berandajdinya hilang vidio bikin itujlaskan cobaini tiktok versi baru,5
91,kali kalau mau bikin event jangan nanggung2 bikin event mobile legend kok batas stok nya capek2 ngumpulin ujung nya bisa tuker kalau cuma buat popularitas sekali jangan bikin event jelas gitu gua uninstall ja nie aplikasi aplikasi jelas,1
92,tetlalu sensitif apk iniupload vidio kadang henti tengah kadang pesan bisa hubung internet padahal kuota internet baru isijdi kasih bintang 2 duluntr udah baik baru nambah,2
93,sekarang tiktok jadi ngelag banget yah padahal update fine aja tuh ngelag lancar jaya pas mau bikin vid tiba keluar apk nya dong di baik,3
94,baru tiktok bisa bagi semua orang,1
95,kalau posting sekarang kadang kadangsusah baik capcut gabisa download muter terus ngeloading kan bikin nunggu lama eh hasil gabisa download padahal baru isi quota jaring baguspertama capcut lancar eh sekarang ngeloading eh makin kesini bisaaku copot aja maaf,5
96,sangat kecewa padahal udah download install bisa batal simpan udah ke pake banyak tidak bisa pake apknya,1
97,bagus sih bagus aplikasi nya cuman tari saldo dana dana premium coba aja tari nya harus pake dana premium lebih bagus ngomong gitu krna ajar krna pinya ktp jdi dana premium dong tari nya jangan pake dana premium,4
98,sempat uninstall memori penuh memori sudah kosong koneksi internet lancar cache google play store sudah hapus tetap tidak mau diinstall ulang mohon segera benah,1
99,aku punya teman bagai negara dapat tahu banyak aku nga tau lama bantu aku segala yang aku sembunyi lama seperti dansa dan bisa bikin ditiku bahagia pokok love love love aplikasi tiktok,5
100,maaf belum dlu masalah bukan tiktok yaa sampe tiktok hampir mau blokir jdi skrng musically jadi tiktok mohon bantu buat rubah jadi musically dulu terimakasih,3
101,q suka sih sama aplikasi ngunggah video q tidak suka telah unggah kita harus share beberapa aplikasi aja sih tapi mohon baik,3
102,apa apan skrng tiktok kok bisa muncul tamplate capcut bisa pytar video padahal jaring internet sanagt aman baharu buksn nya tambah bagus malah tambah jelek tiktok dulu lebuh bagus,1
103,keren bagus kalau cepat mode fast slow 2 kali pencet filter filter baru,5
104,appk nya bagus aku igin bisa baik saat si update baru jagan yang hilang saat aku danloud update akun ikut hilang jadi mohon baik cepat,4
105,sangat suka video musik terima kasi banget buat tiktok yan selalu beri video teman2 yan sangat menhibur saat sendiri mana kapan beradaterima kasi buat tiktok moga terus asi video musik yan bagus kern2 semua terima kasih tiktok,5
106,terima kasih tiktok ada apk jd banyak sahabat jalin saudara tambah wawas ilmu agama intropeksi diri posting2an temen kreator moga tambah sukses,5
107,app tik tok sgt hibur sy kala slsai kerja app kasi bagus mudah n mndptkan sahabat teman2 n keluarga mana ada hampir sama dg fb paling mnojol nyayi n sperti suara pe nyanyi asli n me lawak ini tok pokok nya bagussss,5
108,semenjak update tiktok makin jelas kalo buka sering diley smaa lola sekali buka lama udah gitu sering restart hp nya kalo buka tiktok dong punya baik app nya biar nake bikin bete,1
109,aplikasi bagustapi tiap live ngeleg nya banget,3
110,bagus banget buat ngumpulin koin gajadi aku kecewa bangett,5
111,pliss memori lebih dikecilin lgi kasihan punya hp kentang ken liat tiktok tp gk karna halang memori mau beli hp baru gk punya uang pihak developer untuk ksih ringan sedikit tentang memori tiktok makan habis memori 360 mb,1
112,hi tik tok sy keluar nomor hp di tik tok sudah kebanet permanen berapa kali coba ganti kata sandi bisa di reset dn sy tidak bisa masuk tik tok sy sendiri,2
113,dapat tampil gambar,1
114,aplikasi fitur sedia sangat keren tolong pihak tiktok kita upload video lolong fyp nya mudah yaa karna enak udah capekcapek buat video pas upload ehhh malah fyp,5
115,kalo nonton live orang jadi lelet banget jelas padahal semua cochie udah hapus,1
116,ga login frekuensi kunjung terlalu sering apa apa si guna di fix di tik tok lite dulu ada maju,1
117,habis update malah bisa buka sampe akhir instal ulang kali tetep aja bisa buka aneh bgt,1
118,bngkenapa akun muter bng padahal reset hp gua bng gua udah susah payh bisa dapetin uang di apk tapi ujungujung nya tidak bisa di perbaikin bng buat apk,4
119,perlu tingkat sih filter livestreaming di filter buat video ada terang nama filter apa biar tahu sipenggunanya terimakasih aja sih,5
120,semenjak pakai tiktok makin banyak buat lebih tarik banyak pilih tiap photo video yang kita upload tiktok is the best pokok,5
121,bagus sekali tiktok,5
122,alhamdulillahbnyk pljrn bisa petik dg ada tiktokyg tau jd tauberbagi ilmu tnpa mrsa bosansmg kdepannya tiktok smkin majuprbnyak konten2 didik lbh bagusjd saat ank2 ikut mng instal aplikasi inikita org tua was2,5
123,bisa masuk tik tok daftar lewat email nomer telpon tetap bisa masukkok benar benar bisa yasudah download daftar ulang ulang x tetap bisa guna nya gagal terus,3
124,aku suka banget tik tok,5
125,bagus cuma sering lelet tidak loading,5
126,tiktok sekarang knpa si kalo buka susah uninstall dulu download baru buka tolong di baik dong,1
127,jelek banget aku mau bikin video aja bisa padahal wifi aku nyala aman aman ajaadik aku main nya ada masalahkok aku gin malah mana cepet benerin donk,1
128,tik tok aku gabisa buat upload video baru pdhl udah 3 kali coba video hps trs pdhl aku udah lama pake baru gabisa upload videonyaitu mslh dg tik tok aku ya,3
129,aku mula baru banget jauh sangat asik tiktok punya sistem beda aplikasi lai seru banget,5
130,hnya ksih rating 1 krna pas buka daftar tidak apply nia langsung keluar mohon baik yaa sya dua kali copot apply nya pas mau daftar langsung keluar aja mohon baik,1
131,tik tok update buat filter urut apabila music klik jadi bisa lihat mana video music sebut baru,4
132,kasih bintang 3 ajabarang kali tik tok nya erortiktok terkadang gangguanklo tiktok nya lancar gx ganggu saya kasih bintang lebih dri 5 hiiii,3
133,makasih beri aku aplikasi sanget baguskarena aplikasi tiktok jadi gk asa sepi lagibanyak teman tempat bagi cerita sangat menarikaku selalu kasih baik dengn bintang 5,5
134,terima kasih tiktok sangat sangat bantu,5
135,pertama aku heran ada 2 tik tok padahal aku udah download tiktok satu laginah aku coba download nyata ini itu apli musicaly udah beli sama tiktokmakasih banget aku skrng ngehapusin aib aib aku,5
136,aplikasi tidak langsung live padahal umur lampau lebih 20 tahun sampai sekarang ikut pun sudah lebih 1000 untuk aplikasi tiktok buka akun agar say buat live,2
137,aq suka sama aplikasi cuman bikin kesell kalo buka hari beranda jadi acak lebih di kondisi ya min,5
138,ak kecewa ama admin tiktok comenan orang jelek presiden lolos comen kait anis selalu hapusjadi admin it logo lihat bnget admin dukung anismaaf klau kata ku kurang sopan kecewa ja gtu,1
139,terimakasih aplikasi bagus banget bikin wawas tambah luas tiktok bisa ajar mana benar mana salah gantung fyp sih,5
140,dear tiktok suka sekali aplikasi ada 1 kurang fitur nama kategori vidio save guna lebih mudah mensave vidio manfaat terima kasih harap ulas baca fitur siap di luncur,4
141,suka banget sama app karna hibur saat mood kumatt tp knpa kalau klik lagu nya suka error yaaah,5
142,apknya sangat bosan knp buka apknya selalu bisa selalu terang ada koneksi internet padahal jaring saya stabil,1
143,bantu tiktok bisa buka lupa kata sandi imel aktip,5
144,keren abis mantap dah,5
145,kurang suka sama admin nya knpa kata2 kasar mnjatuhkan presiden sllu lolos,1
146,puas postingan selalu hapus,1
147,tiap komen selalu hapus,1
148,byisa nambah wawas and hot hotyess,3
149,aku sangat suka aplikasi,5
150,moga lebih baik selalu bgus,5
151,apk sangat indah,5
152,kok g fitur posting ulang sama tiktok shop,3
153,tolong tambahin fitur upload hd tiktokjangan cuma amerika iphone itu di phone nlbelum please konten kreator sangat membutuhkankarna capek editing tidak hd,2
154,tik tok netral,1
155,cba pihak mu profesional dikitjangan main bend akun org seenk mu aj mentang akun sebut tdk untung pihak,1
156,efek bisa d guna,1
157,sekarang udah komen foto,5
158,susah banget mau top up coin nya lainkali dong d permudahh proses top up nya biar pun betah pake aplikasi,1
159,bagus sih kalo mau coba filter baru update itu butuh waktu,5
160,bisa downloadpadahal pakai wifi ruang simpan banyak ruang,1
161,asalammualaikum nama syaila fairuzasaya suka banget aplikasi aplikasi hibur saat sendiri banyak video bisa palajari moga aplikasi jadi aplikasi paling suka dunia temanteman,5
162,manfaat di guna baik untuk sebar dakwah tausiah hal hal yang beri energi positif seluruh guna tik tok utama ummat muslim dunia thanks,5
163,sayang sekali ko lagu2 nya gk muncul,3
164,sangat suka aplikasi tapi masih video harus nya boleh tayang kan soal nya kan aplikasi masih anak kecil masih nonton aplikasi nanti bisa jadi conto buruk,1
165,aplikasi sangat bagus guna baik tiktok jadi aplikasi baik saling komunikasi karya sesuai minat bakat masing2 guna tiktok,5
166,belakang aplikasi suka ngelekjadi kasih bintang 2 dulu samapai aplikasi jalan normal di belakanagn,2
167,gatau kalo nonton live mau live suka lelet padahal kuota bnyk,1
168,hibur banget sya lama kerja luar,5
169,sangat lama bisa menginstal nya jadi tidak suka aplikasi,2
170,tiktok makin lama makin susah di oprasikan,1
171,ngleg fulllllll 24 jam gimna nih tiktok makin depan makin kurang bagus,1
172,live streaming sinyal nya putus putus,2
173,ngk bukak live selalu ngeleg padahal kuota banyak,1
174,harihari di live engga kirim korun gody bag awal aman dn normal sekarang ko susah dong baik lgi biar normal biasa,5
175,sangat hibur sayang aku mula bom live kaya orang2 tiktok,5
176,kurang koneksi smoga tingkat,3
177,cocok buat foto komen ada ngemis like follower share jangan bawa nama agama,5
178,banyak konten hancur moral generasi muda tidak pantas tayang,1
179,admin gimana supaya download aplikasi tik tok smua y tdk alas jaringanmenunggu jrngan wifi makasih,5
180,seru siihh jdi kreatif bikin koreo2 baru bisa kasih challenge temen2 makasih sdh d ikan tempat explore add yaa hyangrestus,5
181,aga kecewa aja si filter facelift hilang soal filter banyak rubah bentuk asli natural banget hasil akhirnyakalo laen kan menor terus hidung mancung banget cocok,4
182,apk tidak guna tolong isi ulang koin nya keranjan kuning nya tidak tambah peti tidak pokok baik dulu deh baru tambah bintang,2
183,tik tok bagus makasih pokok kalo tidak dowload bakal nyesel bangettt belum dowload dowload aplikasi tik tok yah,5
184,apk lain kalo user sdh rame server sering down aplikasi force close jauh saya msh suka apk keluar dr facebook saudara2nya,1
185,sedikit batas guna android salah satu fitur hilang tidak ada mic fitur duet,3
186,aku bingung knp klu komen kubu 01 03 sllu hapus sdng kan klu kubu 01 03 wlupun komenanti nya gk adab gk kena langgar smg adminnya sllu profisional,1
